specialty,product-cat,caption,price,description,weight,vendor,order_date,expiry_date,quantity,unit_cost,total_cost
Surgery,Scissors,Umbilical Cord Cutting Scissors,459,Umbilical Cord Cutting Scissors..,0.001492537,Terumo,4/3/2025,4/3/2029,45,45.9,2065.5
Anesthesia Equipment,Laryngoscope,LED Laryngoscope Set Macintosh (1 Year Warranty),2240,LED laryngoscope Set Macintosh Type (1 Year Warranty)Stainless Steel blades with removable LED lamp ..,0.00199005,GE Healthcare,28/03/2023,28/03/2026,41,224,9184
Surgery,Forceps,Tungsten Carbide (TC) Ryder Needle Holder,1899,"Tungsten Carbide (TC) Ryder Needle HolderSKUSize965766""965778""..",0.001492537,Fortis Healthcare Limited,22/05/2023,22/05/2027,43,189.9,8165.7
Surgery,Suction Units Electric,Suction Unit - MS (40 Ltrs./Min),24024,Housing : Powder coated anti corrosive MSJars : Polycarbonate 2 X 2.5 Ltrs. capacityOverflow Protect..,0.001492537,Trivitron Healthcare Private Limited,19/07/2024,19/07/2028,46,2402.4,110510.4
Anesthesia Equipment,Oxygen Cylinder & Regulators,Humidifier Bottle 200ml Autoclavable Plastic,704.46,Humidifier Bottle 200ml Autoclavable Plastic..,0.00199005,Palakkad Surgical,28/10/2024,28/10/2027,18,70.446,1268.028
Cardiothoracic Instrument,Retractor,Finochietto Retractor,5789,Stainless SteelReusablePremium GradeSKUSize93355Baby93356Small93357Medium93358Large..,0.001492537,Terumo,13/08/2023,13/08/2027,24,578.9,13893.6
ENT Instruments,Laryngoscope,Laryngoscope Blade (Miller),392,Stainless steel blades with removable LED lampBlades are made of stainless steel 304 gradeMatt finis..,0.000497512,KLS Martin India,8/9/2023,8/9/2027,28,39.2,1097.6
Rubber Products,Eye/Ear & Ulcer Syringe,Rubber Eye/Ear & Ulcer Syringe,259.6,"Ear/Ulcer Syringe/Bulb is a small, rubbery object that is used to remove mucus.You can use a syringe..",0.000497512,Dr. Lal PathLabs Limited,2/9/2023,2/9/2027,8,25.96,207.68
Anesthesia Equipment,Rebreathing Bags,"Rebreathing Bag - Green Rubber, 2 Litre",168,Rebreathing Bags - Green Rubber                Capacity : 2 Litre..,0.00199005,Max Healthcare Institute Limited,17/10/2023,17/10/2026,33,16.8,554.4
General,Stethoscope,IndoSurgicals Silvery III Stethoscope,1599,Double sided technology diaphragm retaining rims for patient comfort.Ultra-sensitive diaphragm for g..,0.00199005,Wockhardt Limited,7/1/2025,7/1/2028,44,159.9,7035.6
Opthalmology Instruments,Chopper,Phaco Chopper,449,Stainless SteelReusablePremium Grade..,0.000497512,Wockhardt Limited,21/04/2024,21/04/2028,22,44.9,987.8
Lab Plasticware,Micropipettes and Tips,Micropipette Fixed Volume,713.9,High accuracy and performanceEasy calibration and maintenance.Separate streamlined tip ejector.Autoc..,0.000497512,Bard,7/6/2023,7/6/2027,19,71.39,1356.41
General,Height & Weight Scales,Height Measuring Scale / Stadiometer (General Quality),1199,"Product Details:Height Measuring Scale, floor model without weighing scaleMeasuring range : 20 - 210..",0.00199005,Girish Surgical Works,2/12/2024,2/12/2027,48,119.9,5755.2
Surgery,Retractor,Cloward Spreader,6259,Product SpecificationsDesign: Features narrow prongs for ideal retraction of small incisions.Control..,0.001492537,Max Healthcare Institute Limited,8/7/2023,8/7/2027,33,625.9,20654.7
Linen,Disposable Shoe & Boot Covers,Disposable Shoe cover Non Woven (Pack of 50 Pairs),531.3,DisposableMade of non woven..,0.000497512,Dr. Lal PathLabs Limited,11/11/2023,11/11/2027,4,53.13,212.52
General,Height & Weight Scales,"Personal weighing Scale, Analog, 130 Kg",1121,Analog scale. Weight Capacity : 130 Kg x 0.500 Kg. GraduationEasy to read &Â High accuracy.D..,0.00199005,Apollo Hospitals Enterprise Limited,7/8/2022,7/8/2025,22,112.1,2466.2
Lab Equipment,Laboratory Microscope,Elementary Microscope,3796.8,The school microscope is designed for younger students of elementary education. It meets the needs..,0.000497512,Narang,28/04/2023,28/04/2027,13,379.68,4935.84
Ortho Instruments,Instrument Set,Large Fragment Instrument Set (Premium Quality),41216,Large Fragment Instrument Set (Premium Quality)..,0.000497512,Apollo Hospitals Enterprise Limited,9/7/2024,9/7/2028,14,4121.6,57702.4
Monitor,BP Monitor,Omron Automatic Blood Pressure Monitor,1909.6,"Easy, One-Touch OperationHypertension IndicatorBody Movement DetectionIrregular Heartbeat DetectionM..",0.000995025,Vishal Surgitech,17/05/2023,17/05/2027,32,190.96,6110.72
Ortho Aid,Cervical Splints,Ambulance Collar,515.55,"Size :        Small, Medium, Large        Specifications :        Single piece design  with semi-rig..",0.000497512,Palakkad Surgical,1/9/2024,1/9/2028,37,51.555,1907.535
General,Height & Weight Scales,Head Circumference Measuring Tape,35,This Head Circumference Measuring Tape is with Unique 3-slot Principle For Accurate Measurement.Meas..,0.00199005,Inor Medical Products Ltd,25/06/2023,25/06/2026,47,3.5,164.5
Urology,Needle,Biopsy needle,2210,18G x 20cmBard,0.000497512,HI-TECH LAB PRODUCTS,18/02/2023,18/02/2027,35,221,7735
General,Height & Weight Scales,Head Circumference Measuring Tape,35,This Head Circumference Measuring Tape is with Unique 3-slot Principle For Accurate Measurement.Meas..,0.00199005,Baxter,19/12/2022,19/12/2025,34,3.5,119
Lab Plasticware,Measuring Cylinders,Measuring Cylinder (Hexagonal),519.2,IndoSurgicals measuring cylinders are now available with hexagonal base also. The hexagonal base pro..,0.000497512,Medtronic,1/1/2023,1/1/2027,10,51.92,519.2
Lab Plasticware,Lab Bottles,Carboy with Stop Cock,1893.9,"Adding in line of IndoSurgicals Aspirators, these polypropylene Carboys are autoclavable, dependable..",0.000497512,Fresenius,1/4/2024,1/4/2028,21,189.39,3977.19
ENT Instruments,Forceps,"Micro Laryngeal Alligator Forcep for Hard Foreign Bodies, Single Action Serrated Jaw (Length 35cm)",3349,Product DescriptionThe Micro Laryngeal Alligator Forceps is a specialized surgical instrument design..,0.000497512,Fortis Healthcare Limited,21/02/2023,21/02/2027,1,334.9,334.9
Ortho Instruments,Wire,Gigli Saw Wire with Handle,439,Stainless SteelReusablePremium Grade..,0.000497512,Dolphin Surgical,3/3/2023,3/3/2027,6,43.9,263.4
Hollowware,Bed Pan & Urinal,"Bedpan for adult, Polypropylene, Autoclavable",336,Bedpan for adult with coverMade of polypropyleneAutoclavable                          Item Code     ..,0.000497512,Vishal Surgitech,1/4/2022,1/4/2026,31,33.6,1041.6
Anesthesia Equipment,Oxygen Cylinder & Regulators,Emergency Oxygen Cylinder Kit,8260,Emergency Use.It is Handy and Portable.At the time of shifting patient to the Hospital and Home Use...,0.00199005,Opto Circuits India Limited,11/11/2023,11/11/2026,41,826,33866
Monitor,BP Monitor,Omron Automatic Blood Pressure Monitor,1909.6,"Easy, One-Touch OperationHypertension IndicatorBody Movement DetectionIrregular Heartbeat DetectionM..",0.000995025,Gesco Healthcare,7/11/2024,7/11/2028,22,190.96,4201.12
Urology,Stent,Double J stent,3489,6Fr x 26cmCook Medical,0.000497512,Max Healthcare Institute Limited,9/5/2022,9/5/2026,48,348.9,16747.2
Surgery,Suction Units Portable,"Suction Unit - AC/DC, ABS (30 Ltrs./Min)",15926.4,Housing : ABS (Plastic) with SS backJars : Polycarbonate 1000ml  capacityOverflow Protection : Mecha..,0.001492537,Bauch & Lomb,24/01/2024,24/01/2028,26,1592.64,41408.64
OB/GYN Instruments,Vaginal Speculum Cusco / Duck Bill (Sims),Vaginal Speculum - Graves,499,"Size: Small, Medium & LargeMaterial: Stainless Steel  Item Code    Size    55050    Small    550..",0.000497512,GE Healthcare,3/10/2022,3/10/2026,15,49.9,748.5
Lab Equipment,Laboratory Hot Plates,Laboratory Rectangular Heating Plate with Cast Iron Top 1.5kw with Thermostat upto 300 Degree,11546.08,This is very useful  for continuous heating upto 350ÂºC.                     The body is made of  s..,0.000497512,Dolphin Surgical,22/10/2022,22/10/2026,12,1154.608,13855.296
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 1",196,"Anaesthesia Face Mask, Size 1            Made from silicon (green)Size: 1        Round Shape..",0.00199005,Johnson & Johnson,29/09/2024,29/09/2027,14,19.6,274.4
OB/GYN Instruments,OB/GYN,Kielland Obstetrical Forceps 41cm,2749,Kielland Obstetrical Forceps 41cm..,0.000497512,Vishal Surgitech,16/04/2024,16/04/2028,35,274.9,9621.5
General,Stethoscope,IndoSurgicals Dulcet Black Stethoscope,219,Product Details:Soft Sealing Ear tipsHigh Acoustic SensitivityComfortably Angled Binaural TubeDouble..,0.00199005,Santosh Surgical Instruments,31/03/2025,31/03/2028,49,21.9,1073.1
Anesthesia Equipment,Laryngoscope,IndoSurgicals Fiber Optic Anterior Commissure Laryngoscope Rigid,2999,Anterior Commissure Laryngoscope: Our anterior commissure laryngoscope is specifically designed for ..,0.00199005,Lotus Surgicals,23/08/2024,23/08/2027,38,299.9,11396.2
