specialty,product-cat,caption,vendor,order_date,expiry_date,quantity,unit_cost,total_cost,shelf_life_days,days_to_expiry,product_order_count,avg_reorder_gap_days,risk_score,risk_tier
General,Height & Weight Scales,"Personal weighing Scale, Analog, 130 Kg",Apollo Hospitals Enterprise Limited,2022-08-07,2025-08-07,22,112.1,2466.2,1096,-356,19,50.1578947368421,100.0,Critical
Ortho Aid,Walkers,"Walker Folding with 2 Wheels, Adjustable",Hindustan Surgical,2022-06-29,2026-06-29,35,289.905,10146.675,1461,-30,6,154.0,100.0,Critical
General,Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Adult,Rama Surgical House,2022-11-05,2025-11-05,35,89.9,3146.5,1096,-266,37,27.135135135135137,100.0,Critical
Surgery,Instrument Kit,Appendectomy Instrument Kit,Becton Dickinson,2022-04-20,2026-04-20,3,739.2,2217.6,1461,-100,16,51.125,100.0,Critical
Neurology Instruments,Hammer,Neurological Reflex Medical Hammer Set,Intersurgical,2022-05-11,2026-05-11,47,119.9,5635.3,1461,-79,8,109.25,100.0,Critical
Anesthesia Equipment,Bain Circuit,IndoSurgicals Bain Circuit (Child),AJMERA BIO-MEDICAL ENGINEERS,2023-07-19,2026-07-19,48,44.9,2155.2,1096,-10,17,62.35294117647059,100.0,Critical
Anesthesia Equipment,Laryngoscope,Laryngoscope Blade (Macintosh),Terumo,2023-01-21,2026-01-21,37,39.2,1450.4,1096,-189,22,46.0,100.0,Critical
Anesthesia Equipment,Anaesthesia Face Masks,"Face Mask, Size 4",Sree Balaji Surgicals,2023-02-28,2026-02-28,6,22.4,134.4,1096,-151,21,50.523809523809526,100.0,Critical
Lab Plasticware,Racks & Stands,Nestler Cylinder Stand (Pack of 6 Pcs.),Fresenius,2022-06-15,2026-06-15,42,126.968,5332.656,1461,-44,7,150.71428571428572,100.0,Critical
OPT Equipments,OT Tables,Hydraulic Operation Table,Thyrocare Technologies Limited,2022-05-15,2026-05-15,42,5199.9,218395.8,1461,-75,4,119.5,100.0,Critical
Sterilizers,Autoclave Accessories,Autoclave Rubber Gasket,Terumo,2023-01-30,2026-01-30,6,35.4,212.4,1096,-180,18,54.22222222222222,100.0,Critical
General,Stethoscope,DulcetÂ® Paediatric/Neonatal Stethoscope,Cook India,2023-01-25,2026-01-25,18,129.9,2338.2,1096,-185,22,47.45454545454545,100.0,Critical
Surgery,Forceps,Lanes Tissue Forceps,Boston Scientific,2022-05-17,2026-05-17,13,59.9,778.7,1461,-73,21,51.095238095238095,100.0,Critical
Furniture,Hospital Ward Furniture,Bedside Locker General,Bauch & Lomb,2022-06-16,2026-06-16,49,578.2,28331.8,1461,-43,2,146.0,100.0,Critical
Anesthesia Equipment,Laryngoscope,Laryngoscope Blade (Macintosh),HI-TECH LAB PRODUCTS,2022-12-04,2025-12-04,26,39.2,1019.2,1096,-237,22,46.0,100.0,Critical
General,Cylinder,Flow Meter with Humidifier Bottle,Arena Medical Care,2022-12-21,2025-12-21,6,169.9,1019.4,1096,-220,43,24.41860465116279,100.0,Critical
Surgery,Retractor,Adson-Beckman Retractor Folding,Siemens Healthineers,2022-06-01,2026-06-01,13,369.9,4808.7,1461,-58,21,48.285714285714285,100.0,Critical
Anesthesia Equipment,Rebreathing Bags,"Rebreathing Bags - Green Rubber, 1 Litre",Braun Medical India,2023-06-26,2026-06-26,2,16.8,33.6,1096,-33,23,45.391304347826086,100.0,Critical
Disposables,General Surgery & Oncology,Sterimed Yankauer Suction Set with Standard Tip,Abbott,2022-06-09,2026-06-09,22,14.5,319.0,1461,-50,6,158.66666666666666,100.0,Critical
Sterilizers,Non-Electric Autoclave,"Autoclave (39 litres) Non-Electric, Pressure Cooker Type, Mirror Finish",Delux Surgical,2023-03-02,2026-03-02,5,1209.9,6049.5,1096,-149,13,55.23076923076923,100.0,Critical
Anesthesia Equipment,Laryngoscope,Laryngoscope LED Bulb/Lamp,SISCO ,2022-05-15,2025-05-15,13,4.0,52.0,1096,-440,27,36.407407407407405,100.0,Critical
Furniture,Stretchers,Emergency & Recovery Trolley,Tynor Orthotics,2022-06-02,2026-06-02,50,4683.184,234159.2,1461,-57,8,76.875,100.0,Critical
Anesthesia Equipment,Oxygen Cylinder & Regulators,Flow Meter with Humidifier Bottle,Intersurgical,2022-06-14,2025-06-14,9,169.9,1529.1,1096,-410,43,24.41860465116279,100.0,Critical
Radiology Aid,Lead Aprons,NoPbÂ® Frontal Protection Lead Vest & Skirt,KLS Martin India,2022-04-27,2026-04-27,36,1741.6,62697.6,1461,-93,6,131.33333333333334,100.0,Critical
Anesthesia Equipment,Artificial Resuscitator,Silicone Artificial Resuscitator (Ambu Type Bag) Child,Dolphin Surgical,2023-05-26,2026-05-26,38,79.9,3036.2,1096,-64,48,21.979166666666668,100.0,Critical
Surgery,Suction Units Electric,Suction Unit - ABS (30 Ltrs./Min),Thyrocare Technologies Limited,2022-05-21,2026-05-21,12,3208.8,38505.6,1461,-69,10,90.6,100.0,Critical
General,Cylinder,Humidifier Bottle 200ml Autoclavable Plastic,KLS Martin India,2022-11-29,2025-11-29,47,70.446,3310.962,1096,-242,43,22.302325581395348,100.0,Critical
Anesthesia Equipment,Rebreathing Bags,"Rebreathing Bags - Green Rubber, 0.5 Litre",Wockhardt Limited,2022-12-31,2025-12-31,20,16.8,336.0,1096,-210,19,52.526315789473685,100.0,Critical
General,Height & Weight Scales,Equinox Digital Baby Weighing Scale,Reckitt Benckiser,2022-09-18,2025-09-18,34,525.1,17853.4,1096,-314,19,53.8421052631579,100.0,Critical
Surgery,Forceps,Tungsten Carbide (TC) Ryder Needle Holder,Narang,2022-06-05,2026-06-05,22,189.9,4177.8,1461,-54,18,53.666666666666664,100.0,Critical
General,Height & Weight Scales,Height Measuring Scale with Mechanical Weighing Scale,GPC Medical,2023-04-12,2026-04-12,49,271.4,13298.6,1096,-108,22,47.77272727272727,100.0,Critical
Ortho Instruments,Instrument Set,4mm Cannulated Cancellous Screw Instruments Set,Sree Balaji Surgicals,2022-05-20,2026-05-20,40,749.9,29996.0,1461,-70,8,123.0,100.0,Critical
